,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
20,Ric Flair,"February 11, 1996",71,,,,SuperBrawl VI,"St. Petersburg, Florida",16,This was a steel cage match.,WWE,[25][26][3][4],5,WCW_World_Heavyweight_Championship,,
21,The Giant,"April 22, 1996",110,,,,Nitro,"Albany, Georgia",17,"Aired on tape delay on April 29, 1996.",WWE,[27][3][4],2,WCW_World_Heavyweight_Championship,,
22,Hollywood Hogan,"August 10, 1996",359,,,,Hog Wild,"Sturgis, South Dakota",18,"First held title as Hulk Hogan. After the match, Hogan spray-painted the New World Order (nWo) initials on the title belt. It was often announced as the nWo/WCW World Heavyweight Championship during title defenses, though never officially renamed, while nWo members only referred to it as the nWo World Heavyweight Championship.",WWE,[28][29][3][4],2,WCW_World_Heavyweight_Championship,,
23,Lex Luger,"August 4, 1997",5,,,,Nitro,"Auburn Hills, Michigan",19,,WWE,[30][3][4],2,WCW_World_Heavyweight_Championship,,
24,Hollywood Hogan,"August 9, 1997",141,,,,Road Wild,"Sturgis, South Dakota",20,,WWE,[31][32][3][4],3,WCW_World_Heavyweight_Championship,,
25,Sting,"December 28, 1997",11,,,,Starrcade,"Washington, D.C.",21,"Hogan first pinned Sting, but guest referee Bret Hart accused the first referee, Nick Patrick, of making a fast count and restarted the match. Sting then won by submission.",WWE,[33][34][35][3][4],3,WCW_World_Heavyweight_Championship,,
26,Vacated,"January 8, 1998",—,,,,Thunder,"Daytona Beach, Florida",—,Sting was stripped of the title due to the controversy over the finishes of the Starrcade match and the rematch which took place the following night.,WWE,[36][37][3][4],—,WCW_World_Heavyweight_Championship,,
27,Sting,"February 22, 1998",56,,,,SuperBrawl VIII,"Daly City, California",22,Defeated Hollywood Hogan in a rematch for the vacant title.,WWE,[37][3][4],4,WCW_World_Heavyweight_Championship,,
28,Randy Savage,"April 19, 1998",1,,,,Spring Stampede,"Denver, Colorado",23,This was a no disqualification match.,WWE,[38][39][3][4],3,WCW_World_Heavyweight_Championship,,
29,Hollywood Hogan,"April 20, 1998",77,,,,Nitro,"Colorado Springs, Colorado",24,This was a no disqualification match.,WWE,[40][3][4],4,WCW_World_Heavyweight_Championship,,
30,Goldberg,"July 6, 1998",174,,,,Nitro,"Atlanta, Georgia",25,,WWE,[41][3][4],1,WCW_World_Heavyweight_Championship,,
31,Kevin Nash,"December 27, 1998",8,,,,Starrcade,"Washington, D.C.",26,,WWE,[42][43][3][4],1,WCW_World_Heavyweight_Championship,,
32,Hollywood Hogan,"January 4, 1999",69,,,,Nitro,"Atlanta, Georgia",27,This was The Fingerpoke of Doom.,WWE,[44][3][4],5,WCW_World_Heavyweight_Championship,,
33,Ric Flair,"March 14, 1999",28,,,,Uncensored (1999),"Louisville, Kentucky",28,This was a First Blood barbed wire steel cage match.,WWE,[45][46][3][4],6,WCW_World_Heavyweight_Championship,,
34,Diamond Dallas Page,"April 11, 1999",15,,,,Spring Stampede,"Tacoma, Washington",29,"This was a four corners match, also involving Sting and Hollywood Hulk Hogan. Randy Savage was the special guest referee.",WWE,[47][48][3][4],1,WCW_World_Heavyweight_Championship,,
35,Sting,"April 26, 1999",<1,,,,Nitro,"Fargo, North Dakota",30,"WWE.com mistakenly lists Sting's reign as lasting from April 26, 1999 to April 29, 1999, despite this and the following match's descriptions stating that this reign began and ended on the same night.",WWE,[49][3],5,WCW_World_Heavyweight_Championship,,
36,Diamond Dallas Page,"April 26, 1999",13,,,,Nitro,"Fargo, North Dakota",31,"This was a four corners match, also involving Kevin Nash and Goldberg.WWE recognizes DDP's reign as lasting 14 days.",WWE,[50][3],2,WCW_World_Heavyweight_Championship,,
37,Kevin Nash,"May 9, 1999",63,,,,Slamboree,"St. Louis, Missouri",32,,WWE,[51][52][3][4],2,WCW_World_Heavyweight_Championship,,
38,Randy Savage,"July 11, 1999",1,,,,Bash at the Beach,"Fort Lauderdale, Florida",33,This was a tag team match pitting Savage and Sid Vicious against Kevin Nash and Sting. Savage pinned Nash to win the title.,WWE,[53][3][4],4,WCW_World_Heavyweight_Championship,,
39,Hollywood Hogan,"July 12, 1999",62,,,,Nitro,"Jacksonville, Florida",34,Hollywood Hogan reverted to his Hulkamania character midway through this reign.,WWE,[54][3][4],6,WCW_World_Heavyweight_Championship,,
40,Sting,"September 12, 1999",43,,,,Fall Brawl,"Winston-Salem, North Carolina",35,,WWE,[55][56][3][4],6,WCW_World_Heavyweight_Championship,,
41,Vacated,"October 25, 1999",—,,,,Nitro,"Phoenix, Arizona",—,Sting was stripped of the title after losing an unsanctioned match against Goldberg and attacked referee Charles Robinson at Halloween Havoc.,WWE,[57][3][4],—,WCW_World_Heavyweight_Championship,,
42,Bret Hart,"November 21, 1999",29,,,,Mayhem,"Toronto, Ontario",36,Defeated Chris Benoit in a tournament final for the vacant title.,WWE,[58][59][60][3][4],1,WCW_World_Heavyweight_Championship,,
43,Vacated,"December 20, 1999",—,,,,Nitro,"Baltimore, Maryland",—,Bret Hart vacated the title due to the controversial end to a match with Goldberg at Starrcade.,WWE,[61][3][4],—,WCW_World_Heavyweight_Championship,,
44,Bret Hart,"December 20, 1999",27,,,,Nitro,"Baltimore, Maryland",37,Defeated Goldberg in a rematch for the vacant title.,WWE,[61][3][4],2,WCW_World_Heavyweight_Championship,,
45,Vacated,"January 16, 2000",—,,,,Souled Out,"Cincinnati, Ohio",—,Bret Hart vacated the title due to a legitimate injury that eventually forced him to retire nine months later.,WWE,[62][3][4],—,WCW_World_Heavyweight_Championship,,
46,Chris Benoit,"January 16, 2000",1,,,,Souled Out,"Cincinnati, Ohio",38,"Defeated Sid Vicious for the vacant title. The following day, after a dispute with management, he left WCW for the WWF. The company withdrew recognition of Benoit's reign, which was not listed in the title lineage at WCW.com. However, WWE (who assumed the title upon purchasing WCW in March 2001) recognizes Benoit's reign at WWE.com.",WWE,[63][4][3],1,WCW_World_Heavyweight_Championship,,
47,Vacated,"January 17, 2000",—,,,,Nitro,"Columbus, Ohio",—,"In storyline, Chris Benoit was stripped of the title because he won the match although Sid Vicious' foot was under the rope during the submission. In reality, Benoit forfeited the title and left for the WWF after dispute with management.",WWE,[63][64][3][4],—,WCW_World_Heavyweight_Championship,,
48,Sid Vicious,"January 24, 2000",1,,,,Nitro,"Los Angeles, California",39,"Defeated The Harris Brothers for the right to face Kevin Nash. Sid then defeated Nash for the vacant title. WWE recognizes Sid's reign as lasting 2 days, ending on January 26, 2000, when the following episode aired on tape delay.",WWE,[65][3][4],1,WCW_World_Heavyweight_Championship,,
49,Vacated,"January 25, 2000",—,,,,Thunder,"Las Vegas, Nevada",—,"Sid Vicious was stripped of the title by Commissioner Kevin Nash due to Sid pinning the wrong Harris Brother.Aired on tape delay on January 26, 2000.",WWE,[2][3][4],—,WCW_World_Heavyweight_Championship,,
50,Kevin Nash,"January 25, 2000",<1,,,,Thunder,"Las Vegas, Nevada",40,"As Commissioner, Nash awarded himself the title.Aired on tape delay on January 26, 2000.This reign was not recognized by WCW, but it is recognized by the WWE.",WWE,[2][4][3][66],3,WCW_World_Heavyweight_Championship,,
51,Sid Vicious,"January 25, 2000",76,,,,Thunder,"Las Vegas, Nevada",41,"This was a triangle steel cage match, also involving Kevin Nash and Ron Harris. Sid made Nash submit to win the vacant title.WWE recognizes Sid's reign as lasting 75 days, beginning on January 26, 2000, when the episode aired on tape delay.",WWE,[67][3][4],2,WCW_World_Heavyweight_Championship,,
52,Vacated,"April 10, 2000",—,,,,Nitro,"Denver, Colorado",—,All WCW titles were declared vacant by Vince Russo and Eric Bischoff after WCW was rebooted.,WWE,[68][3][4],—,WCW_World_Heavyweight_Championship,,
53,Jeff Jarrett,"April 16, 2000",8,,,,Spring Stampede,"Chicago, Illinois",42,Defeated Diamond Dallas Page in tournament final for the vacant title.,WWE,[68][3][4],1,WCW_World_Heavyweight_Championship,,
54,Diamond Dallas Page,"April 24, 2000",1,,,,Nitro,"Rochester, New York",43,This was a steel cage match.,WWE,[3][4],3,WCW_World_Heavyweight_Championship,,
55,David Arquette,"April 25, 2000",12,,,,Thunder,"Syracuse, New York",44,"This was a tag team match pitting Arquette and Diamond Dallas Page against Eric Bischoff and Jeff Jarrett, in which whoever scored the fall would become champion. Arquette pinned Bischoff to win Page's title.Aired on tape delay on April 26, 2000.",WWE,[69][3][4],1,WCW_World_Heavyweight_Championship,,
56,Jeff Jarrett,"May 7, 2000",8,,,,Slamboree,"Kansas City, Missouri",45,"This was a Triple Cage match, also involving Diamond Dallas Page.",WWE,[70][3][4],2,WCW_World_Heavyweight_Championship,,
57,Ric Flair,"May 15, 2000",7,,,,Nitro,"Biloxi, Mississippi",46,"Despite being listed as Flair's sixth reign on WWE.com, the match description says that this was Flair's seventh reign.",WWE,[71][3][4],7,WCW_World_Heavyweight_Championship,,
58,Vacated,"May 22, 2000",—,,,,Nitro,"Grand Rapids, Michigan",—,Vince Russo stripped Ric Flair of the title.,WWE,[72][3][4],—,WCW_World_Heavyweight_Championship,,
59,Jeff Jarrett,"May 22, 2000",1,,,,Nitro,"Grand Rapids, Michigan",47,"Vince Russo awarded the vacant title to Jarrett, but Kevin Nash stole the title belt. Nash was then forced to face Jarrett in a No Holds Barred match, which Jarrett won.WWE recognizes Jarrett's reign as lasting 2 days, ending on May 24, 2000, when the following episode aired on tape delay.",WWE,[73][3][4],3,WCW_World_Heavyweight_Championship,,
60,Kevin Nash,"May 23, 2000",6,,,,Thunder,"Saginaw, Michigan",48,"This was a triangle match, also involving Scott Steiner.",WWE,[74][3][4],4,WCW_World_Heavyweight_Championship,,
61,Ric Flair,"May 29, 2000",<1,,,,Nitro,"Salt Lake City, Utah",49,Kevin Nash gave the title to Flair.,WWE,[74][3][4],8,WCW_World_Heavyweight_Championship,,
62,Jeff Jarrett,"May 29, 2000",41,,,,Nitro,"Salt Lake City, Utah",50,,WWE,[75][3][4],4,WCW_World_Heavyweight_Championship,,
63,Booker T,"July 9, 2000",50,,,,Bash at the Beach,"Daytona Beach, Florida",51,"Earlier that night, Hollywood Hulk Hogan faced Jeff Jarrett for the title in a controversial match that ended in a shoot. In reality, Vince Russo wanted Hogan to lose to Jarrett, who would then lose to Booker T. However, Hogan refused to job to Jarrett, so Russo told Jarrett to just lie down and let Hogan win. Jarrett lay down and Russo threw the belt in the ring at a confused Hogan, telling Hogan to take the belt. After Hogan pinned Jarrett and was declared new champion, he called out Russo for his poor booking decisions before walking out of WCW. Russo reversed the decision, declaring that Jarrett was still champion. Jarrett then lost the title to Booker T in an impromptu match.",WWE,[76][3][4],1,WCW_World_Heavyweight_Championship,,
64,Kevin Nash,"August 28, 2000",20,,,,Nitro,"Las Cruces, New Mexico",52,,WWE,[66][3],5,WCW_World_Heavyweight_Championship,,
65,Booker T,"September 17, 2000",8,,,,Fall Brawl,"Buffalo, New York",53,This was a Caged Heat match.,WWE,[77][78][3],2,WCW_World_Heavyweight_Championship,,
66,Vince Russo,"September 25, 2000",7,,,,Nitro,"Uniondale, New York",54,This was a steel cage match; Russo 'escaped' the cage before Booker T by getting speared through the cage by Goldberg.,WWE,[79][3],1,WCW_World_Heavyweight_Championship,,
67,Vacated,"October 2, 2000",—,,,,Nitro,"Daly City, California",—,Vince Russo decided he was not a wrestler and he did not want the title.,WWE,[79][3],—,WCW_World_Heavyweight_Championship,,
68,Booker T,"October 2, 2000",55,,,,Nitro,"Daly City, California",55,Defeated Jeff Jarrett in a San Francisco 49ers match for the vacant title.,WWE,[80][3],3,WCW_World_Heavyweight_Championship,,
69,Scott Steiner,"November 26, 2000",120,,,,Mayhem,"Milwaukee, Wisconsin",56,This was a straitjacket steel cage match.,WWE,[81][82][3],1,WCW_World_Heavyweight_Championship,,
70,Booker T,"March 26, 2001",120,,,,Nitro,"Panama City Beach, Florida",57,"This was a winner-take-all match for both the World Heavyweight and United States Heavyweight championships. This was also the final episode of Nitro, as WCW had been purchased by the WWF on March 23, 2001. Booker T was also the United States champion. The title was then defended on WWF programming, where it was referred to as the WCW Championship.",WWE,[83][3],4,WCW_World_Heavyweight_Championship,,
71,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),,,,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),WWE,World Wrestling Federation (WWF),World Wrestling Federation (WWF),WCW_World_Heavyweight_Championship,World Wrestling Federation (WWF),World Wrestling Federation (WWF)
72,Kurt Angle,"July 24, 2001",6,,,,SmackDown!,"Pittsburgh, Pennsylvania",58,"Aired on tape delay on July 26, 2001.",WWE,[84][3],1,WCW_World_Heavyweight_Championship,,
73,Booker T,"July 30, 2001",20,,,,Raw Is War,"Philadelphia, Pennsylvania",59,,WWE,[85][3],5,WCW_World_Heavyweight_Championship,,
74,The Rock,"August 19, 2001",63,,,,SummerSlam,"San Jose, California",60,,WWE,[86][87][3],1,WCW_World_Heavyweight_Championship,,
75,Chris Jericho,"October 21, 2001",15,,,,No Mercy,"St. Louis, Missouri",61,,WWE,[88][89][3],1,WCW_World_Heavyweight_Championship,,
76,The Rock,"November 5, 2001",34,,,,Raw,"Uniondale, New York",62,"The title was referred to as the World Championship from November 19, 2001 after the demise of The Alliance.",WWE,[90][3],2,WCW_World_Heavyweight_Championship,,
77,Chris Jericho,"December 9, 2001",<1,,,,Vengeance,"San Diego, California",63,,WWE,[91][3],2,WCW_World_Heavyweight_Championship,,
78,Unified,"December 9, 2001",—,,,,Vengeance,"San Diego, California",—,"After defeating The Rock for the World Championship, Chris Jericho defeated Stone Cold Steve Austin to unify the World Championship with the WWF Championship. The World Championship was retired and the WWF Championship became the Undisputed WWF Championship.",WWE,[91][3],—,WCW_World_Heavyweight_Championship,,
0,National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),,,National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),WWE,National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),ECW_World_Heavyweight_Championship,National Wrestling Alliance (NWA) and Eastern Championship Wrestling (ECW),
1,Jimmy Snuka,"April 25, 1992",1,1,,,Live event,"Mount Tabor, PA",1,Snuka defeated Salvatore Bellomo in a tournament final to become the inaugural champion. WWE does not recognize this reign in the ECW title lineage.,WWE,[6],1,ECW_World_Heavyweight_Championship,,
2,Johnny Hotbody,"April 26, 1992",79,79,,,Live event,"Philadelphia, PA",2,WWE does not recognize this reign in the ECW title lineage.,WWE,[7],1,ECW_World_Heavyweight_Championship,,
3,Jimmy Snuka,"July 14, 1992",78,78,,,Live event,"Philadelphia, PA",3,WWE does not recognize this reign in the ECW title lineage.,WWE,[8],2,ECW_World_Heavyweight_Championship,,
4,Don Muraco,"September 30, 1992",47,47,,,Live event,"Philadelphia, PA",4,WWE does not recognize this reign in the ECW title lineage.,WWE,[9],1,ECW_World_Heavyweight_Championship,,
5,The Sandman,"November 16, 1992",138,138,,,Live event,"Philadelphia, PA",5,"While WWE.com doesn't include this reign in the title history, has described Sandman as a 5 time champion",WWE,[10],1,ECW_World_Heavyweight_Championship,,
6,Don Muraco,"April 3, 1993",127,127,,,Hardcore TV,"Radnor, PA",6,"The episode aired on June 1, 1993 via tape delay. WWE does not recognize this reign in the ECW title lineage.",WWE,[11],2,ECW_World_Heavyweight_Championship,,
7,Tito Santana,"August 8, 1993",32,32,,,Hardcore TV,"Philadelphia, PA",7,"The episode aired on August 24, 1993 via tape delay. WWE does not recognize this reign in the ECW title lineage.",WWE,[12],1,ECW_World_Heavyweight_Championship,,
8,Shane Douglas,"September 9, 1993",23,23,,,Hardcore TV,"Roanoke, VA",8,"Santana forfeited the belt to Douglas and left ECW. The episode aired on September 14, 1993 via tape delay. WWE does not recognize this reign in the ECW title lineage.",WWE,,1,ECW_World_Heavyweight_Championship,,
9,Sabu,"October 2, 1993",85,85,,,NWA Bloodfest,"Philadelphia, PA",9,"The title change aired on November 2, 1993 episode of Hardcore TV via tape delay. WWE does not recognize this reign in the ECW title lineage.",WWE,[13],1,ECW_World_Heavyweight_Championship,,
10,Terry Funk,"December 26, 1993",90,90,,,Holiday Hell,"Philadelphia, PA",10,"The title change aired on December 28, 1993 episode of Hardcore TV via tape delay. WWE does not recognize this reign in the ECW title lineage.",WWE,[14],1,ECW_World_Heavyweight_Championship,,
11,Shane Douglas,"March 26, 1994",385,230,,,Ultimate Jeopardy,"Devon, PA",11,"This was an Ultimate Jeopardy match also involving, Curtis Hughes, Rocco Rock, Johnny Grunge, Road Warrior Hawk, Kevin Sullivan, and Tazz. The title change aired on the March 29, 1994 episode of Hardcore TV via tape delay. On August 27, 1994, the title was renamed the ECW World Heavyweight Championship when Douglas relinquished the NWA World Heavyweight Championship. ECW left the NWA and was renamed Extreme Championship Wrestling. WWE recognizes this as the starting point of the title.",WWE,[15],2,ECW_World_Heavyweight_Championship,,
